4,"Zip
Code","Place
Name",State,County,Lat,Long,RandomColumn
501,Holtsville,NY,Suffolk,40.8154,-73.0451,0.8700482262203465
544,Holtsville,NY,Suffolk,40.8154,-73.0451,0.21092426745186466
1001,Agawam,MA,Hampden,42.0702,-72.6227,0.9978614570610622
1002,Amherst,MA,Hampshire,42.3671,-72.4646,0.33804033745378714
1003,Amherst,MA,Hampshire,42.3919,-72.5248,0.3301843930583849
1004,Amherst,MA,Hampshire,42.3845,-72.5132,0.4012544343815265
1005,Barre,MA,Worcester,42.4097,-72.1084,0.21642980171305426
1007,Belchertown,MA,Hampshire,42.2751,-72.411,0.8653873992025026
1008,Blandford,MA,Hampden,42.1829,-72.9361,0.7690497587431219
1009,Bondsville,MA,Hampden,42.2061,-72.3405,0.5804155992291753
1010,Brimfield,MA,Hampden,42.1165,-72.1885,0.9640097589757871
1011,Chester,MA,Hampden,42.2794,-72.9888,0.2631880114174967
1012,Chesterfield,MA,Hampshire,42.3923,-72.8256,0.6128572561612952
1013,Chicopee,MA,Hampden,42.1487,-72.6079,0.796985107215159
1014,Chicopee,MA,Hampden,42.1707,-72.6048,0.5807729334920502
1020,Chicopee,MA,Hampden,42.1764,-72.5761,0.9100082687080491
1021,Chicopee,MA,Hampden,42.1707,-72.6048,0.5574739052006661
1022,Chicopee,MA,Hampden,42.1934,-72.5544,0.7381000719365405
1026,Cummington,MA,Hampshire,42.4633,-72.9202,0.9948528607963211
1027,Easthampton,MA,Hampshire,42.2668,-72.669,0.09493017430912598
1028,East Longmeadow,MA,Hampden,42.0672,-72.5056,0.14001991948810233
1029,East Otis,MA,Berkshire,42.1909,-73.0517,0.3246280381279274
1030,Feeding Hills,MA,Hampden,42.0718,-72.6751,0.7211826669090159
1031,Gilbertville,MA,Worcester,42.3322,-72.1986,0.3255819611038613
1032,Goshen,MA,Hampshire,42.4404,-72.7995,0.1448449888507538
1033,Granby,MA,Hampshire,42.2557,-72.52,0.9874507021588017
1034,Granville,MA,Hampden,42.1127,-72.952,0.7475364841971703
1035,Hadley,MA,Hampshire,42.3606,-72.5715,0.2687343296664284
1036,Hampden,MA,Hampden,42.0648,-72.4318,0.3458416943896735
1037,Hardwick,MA,Worcester,42.3479,-72.2253,0.14936471913548388
1038,Hatfield,MA,Hampshire,42.3844,-72.6167,0.6591591624226765
1039,Haydenville,MA,Hampshire,42.3818,-72.7032,0.6465796992055755
1040,Holyoke,MA,Hampden,42.202,-72.6262,0.6813351105373793
1041,Holyoke,MA,Hampden,42.2043,-72.6162,0.03995567151426038
1050,Huntington,MA,Hampshire,42.2653,-72.8733,0.7337373744324762
1053,Leeds,MA,Hampshire,42.3543,-72.7034,0.9759457119960916
1054,Leverett,MA,Franklin,42.4682,-72.4993,0.7901000255116396
1056,Ludlow,MA,Hampden,42.1728,-72.471,0.7704358028762023
1057,Monson,MA,Hampden,42.101,-72.3196,0.8457532439849114
1059,North Amherst,MA,Hampshire,42.4104,-72.5309,0.17722669160335058
1060,Northampton,MA,Hampshire,42.3223,-72.6313,0.0603487038451912
1061,Northampton,MA,Hampshire,42.3696,-72.636,0.11111455351164945
1062,Florence,MA,Hampshire,42.3219,-72.6928,0.1697242762144221
1063,Northampton,MA,Hampshire,42.3179,-72.6402,0.6728269734686462
1066,North Hatfield,MA,Hampshire,42.4067,-72.6339,0.643859275552775
1068,Oakham,MA,Worcester,42.348,-72.0513,0.437286856696266
1069,Palmer,MA,Hampden,42.1762,-72.3288,0.48482021400155517
1070,Plainfield,MA,Hampshire,42.5144,-72.9183,0.7302853107242432
1071,Russell,MA,Hampden,42.1471,-72.8403,0.910701805833855
1072,Shutesbury,MA,Franklin,42.482,-72.4213,0.9501107330174495
1073,Southampton,MA,Hampshire,42.2247,-72.7194,0.0697912538933646
1074,South Barre,MA,Worcester,42.3854,-72.0954,0.7731557051896564
1075,South Hadley,MA,Hampshire,42.2375,-72.5811,0.9875761774300407
1077,Southwick,MA,Hampden,42.0511,-72.7706,0.8923501250673954
1079,Thorndike,MA,Hampden,42.1929,-72.3296,0.009241983738528248
1080,Three Rivers,MA,Hampden,42.1819,-72.3624,0.9900005887085379
1081,Wales,MA,Hampden,42.0627,-72.2046,0.211473528183454
1082,Ware,MA,Hampshire,42.2618,-72.2583,0.7311600631541354
1083,Warren,MA,Worcester,42.204,-72.1994,0.2686352087749849
